Modelo;mean_precision;mean_recall;mean_f1;backbone_for_bertscore;idf;rescale_with_baseline;batch_size;device;n_examples;lang;mean_automated_readability;mean_coleman_liau;mean_dale_chall;mean_flesch_kincaid_grade;mean_flesch_reading_ease;mean_gunning_fog;mean_num_sentences;mean_num_words;mean_reading_time_sec;mean_smog_index;mean_syllables;mean_text_standard;mean_alignscore_nli;std_alignscore_nli;min_alignscore_nli;max_alignscore_nli;mean_alignscore_bin;std_alignscore_bin;min_alignscore_bin;max_alignscore_bin;n_examples;backbone;batch_size;device;ckpt_path;Batch size;VRAM_inference_mean;VRAM/batch;inferencia_time
Gemma3_base;0,843;0,833;0,837;roberta-large;True;False;1;cuda;380;en;15,506;15,502;10,811;11,321;44,787;12,215;16,526;266,889;24,469;13,377;472,384;12,953;0,481;0,117;0,204;0,809;0,684;0,181;0,13;0,999;190;roberta-large;8;cuda;models/alignscore/AlignScore-large,ckpt;15;15;1;15
Llama3,2_base;0,836;0,848;0,841;roberta-large;True;False;1;cuda;380;en;20,031;21,298;10,271;13,889;26,166;12,387;32,087;520,461;48,162;13,266;927,674;13,313;0,447;0,145;0,17;0,972;0,529;0,17;0,109;0,996;380;roberta-large;16;cuda;/content/drive/MyDrive/MAIA-PROYECTO/models/AlignScore-large,ckpt;15;15;1;11
Qwen3_base;0,841;0,831;0,836;roberta-large;True;False;1;cuda;380;en;14,794;15,013;9,115;10,967;48,73;11,282;24,289;423,584;36,352;13,274;707,829;12,095;0,516;0,118;0,16;0,832;0,688;0,158;0,027;0,993;380;roberta-large;8;cuda;models/alignscore/AlignScore-large,ckpt;4;5;1;40
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;DeepSeek;10,871;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Gemma3;10,726;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Llama3,2;10,824;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Qwen3;10,934;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;DeepSeek_OPT;10,195;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Gemma3_OPT;11,158;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Llama3,2_OPT;11,271;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Qwen3_OPT;10,463;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;DeepSeek_COT;10,411;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Gemma3_COT;11,608;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Llama3,2_COT;10,837;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Qwen3_COT;10,332;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;DeepSeek_base;11,779;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Gemma3_base;12,953;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Llama3,2_base;13,313;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Qwen3_base;12,095;;;;;;;;;;;;;;;;;;;;;;;;;
